election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,360,414,ก้าวไกล,122
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,328,393,ก้าวไกล,144
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,346,763,ก้าวไกล,164
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,265,315,ก้าวไกล,103
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,268,331,ก้าวไกล,123
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,310,406,ก้าวไกล,103
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,507,674,ก้าวไกล,197
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,298,372,ก้าวไกล,131
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,508,639,ก้าวไกล,244
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,380,880,ก้าวไกล,241
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,292,531,ก้าวไกล,141
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,405,694,ก้าวไกล,183
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,499,681,ก้าวไกล,243
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่งอน,435,562,ก้าวไกล,168
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,386,532,ก้าวไกล,179
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,614,846,ก้าวไกล,248
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,617,7999,ก้าวไกล,216
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,396,530,ก้าวไกล,189
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,295,373,ก้าวไกล,134
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,264,347,ก้าวไกล,119
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,367,488,ก้าวไกล,168
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,308,382,ก้าวไกล,133
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,308,365,ก้าวไกล,142
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,284,377,ก้าวไกล,129
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,407,593,ก้าวไกล,200
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,469,579,ก้าวไกล,189
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,725,1000,ก้าวไกล,352
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,479,623,ก้าวไกล,224
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,301,403,ก้าวไกล,143
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,330,433,ก้าวไกล,118
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,607,824,ก้าวไกล,286
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,แม่สูน,101,118,ก้าวไกล,33
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,214,275,ก้าวไกล,86
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,327,413,ก้าวไกล,139
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,502,794,ก้าวไกล,239
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,269,356,ก้าวไกล,108
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,348,415,ก้าวไกล,165
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,462,610,ก้าวไกล,174
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,324,418,ก้าวไกล,125
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,448,647,ก้าวไกล,138
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,81,139,ก้าวไกล,49
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,500,741,ก้าวไกล,167
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,332,527,ก้าวไกล,131
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,523,953,ก้าวไกล,222
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,516,982,ก้าวไกล,242
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,252,418,ก้าวไกล,115
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,650,889,ก้าวไกล,115
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,458,640,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,461,742,ก้าวไกล,164
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,199,305,ก้าวไกล,95
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,495,718,ก้าวไกล,217
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,505,933,ก้าวไกล,157
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,525,804,ก้าวไกล,196
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,197,284,ก้าวไกล,56
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,467,692,ก้าวไกล,164
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,125,199,ก้าวไกล,51
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,264,382,ก้าวไกล,82
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,0,0,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,ท่าตอน,504,867,ก้าวไกล,216
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,364,597,ก้าวไกล,140
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,283,404,ก้าวไกล,70
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,254,353,ก้าวไกล,116
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,520,674,ก้าวไกล,145
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,339,454,ก้าวไกล,92
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,287,382,ก้าวไกล,91
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,647,837,ก้าวไกล,142
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,274,328,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,161,206,ก้าวไกล,45
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,303,396,ก้าวไกล,95
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,141,170,ก้าวไกล,36
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,129,168,ก้าวไกล,57
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,บ้านหลวง,195,253,ก้าวไกล,56
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,151,196,ก้าวไกล,49
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,169,239,ก้าวไกล,75
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,195,378,ก้าวไกล,64
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,226,394,ก้าวไกล,71
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,290,408,ก้าวไกล,109
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,274,396,ก้าวไกล,102
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,308,448,ก้าวไกล,138
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,188,235,ก้าวไกล,60
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,195,291,ก้าวไกล,80
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,มะลิกา,151,196,ก้าวไกล,49
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,434,567,ก้าวไกล,138
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,215,242,ก้าวไกล,65
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,211,288,ก้าวไกล,77
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,216,271,ก้าวไกล,58
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,318,416,ก้าวไกล,115
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,317,442,ก้าวไกล,90
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,340,429,ก้าวไกล,123
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,379,520,ก้าวไกล,129
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,539,740,ก้าวไกล,228
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,171,226,ก้าวไกล,42
บัญชีรายชื่อ,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,310,412,ก้าวไกล,118
