รหัสจังหวัด,จังหวัด,เขต,อำเภอ,ตำบล,หมู่,หมายเลขหน่วยเลือกตั้ง,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,ชื่อพรรค,คะแนน
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,3,3,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,1,นายอดุลย์ บุญใส,ภูมิใจไทย,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,2,นายสมดุลย์ อุตเจริญ,ประชาชน,33
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,4,นายสันติ ตันสุหัช,ก้าวอิสระ,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,28
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,70
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,7,นายไกร ดาบธรรม,พลังประชารัฐ,66
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,4,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,4
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,1,นายอดุลย์ บุญใส,ภูมิใจไทย,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,2,นายสมดุลย์ อุตเจริญ,ประชาชน,54
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,26
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,55
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,7,นายไกร ดาบธรรม,พลังประชารัฐ,80
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,4,5,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,1,นายอดุลย์ บุญใส,ภูมิใจไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,2,นายสมดุลย์ อุตเจริญ,ประชาชน,45
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,4,นายสันติ ตันสุหัช,ก้าวอิสระ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,57
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,31
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,7,นายไกร ดาบธรรม,พลังประชารัฐ,106
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,5,6,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,1,นายอดุลย์ บุญใส,ภูมิใจไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,2,นายสมดุลย์ อุตเจริญ,ประชาชน,20
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,124
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,19
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,7,นายไกร ดาบธรรม,พลังประชารัฐ,50
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,6,7,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,1,นายอดุลย์ บุญใส,ภูมิใจไทย,5
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,2,นายสมดุลย์ อุตเจริญ,ประชาชน,70
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,99
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,58
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,7,นายไกร ดาบธรรม,พลังประชารัฐ,175
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,7,8,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,8
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,1,นายอดุลย์ บุญใส,ภูมิใจไทย,3
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,2,นายสมดุลย์ อุตเจริญ,ประชาชน,26
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,4,นายสันติ ตันสุหัช,ก้าวอิสระ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,70
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,67
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,7,นายไกร ดาบธรรม,พลังประชารัฐ,54
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,9,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,9
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,1,นายอดุลย์ บุญใส,ภูมิใจไทย,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,2,นายสมดุลย์ อุตเจริญ,ประชาชน,34
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,37
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,47
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,7,นายไกร ดาบธรรม,พลังประชารัฐ,48
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,แม่อาย,8,10,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,0
50,เชียงใหม่,7,แม่อาย,แม่อาย,10,11,1,นายอดุลย์ บุญใส,ภูมิใจไทย,6
